Latitude,Longitude,P,K,Mg,Ca,S,Mo,Mn,Fe,Ni,Cu,Zn,B,Na,Sr,Ba,Al,Si,Cr,Co,Cd,Pb,As
45.50086,-122.50851,0.11,0.28,0.08,0.7,0.1,0.36,22.6,854,1.27,7.6,48.1,13.8,87,56.5,48.5,633,342,1.45,0.49,0.13,2.8,0.6
45.5391,-122.76841,0.22,0.52,0.19,0.38,0.1,0.73,216,796,2.81,7.5,175.8,9.1,113,19.3,32.2,364,296,2.34,0.42,0.12,3.5,BD
45.51667,-122.51843,0.17,0.38,0.17,0.41,0.1,0.56,80.1,926,1.77,9.5,49,8.8,33,28.1,48.7,493,258,1.56,0.63,0.14,3.9,BD
45.47862,-122.55556,0.25,0.64,0.21,0.52,0.1,0.94,34.1,1130,3.53,9.5,39.4,28.9,146,25.2,35.8,532,418,2.09,0.78,0.17,3.8,BD
45.52609,-122.55619,0.15,0.34,0.12,0.35,0.11,1.15,57.8,1332,2.59,17.3,148.9,6.7,48,34.1,50.9,651,526,2.2,0.81,0.18,7.2,BD
45.51611,-122.73759,0.19,0.43,0.11,0.36,0.09,0.48,65.2,470,0.7,5.7,39.6,3.6,35,23.9,43.7,234,331,1.06,0.27,0.26,2.3,BD
45.49994,-122.63753,0.27,0.67,0.16,0.5,0.13,0.67,42.9,892,2.49,22.7,92.3,36.8,169,36,38.8,431,473,2.09,0.52,0.93,14.2,0.3
45.44103,-122.70295,0.18,0.5,0.15,0.35,0.14,0.57,294.4,850,2.27,7.7,45.2,3.8,157,16.1,31.7,439,360,1.57,0.53,0.19,2.7,BD
45.44673,-122.75043,0.19,0.41,0.15,0.35,0.09,0.47,226.4,702,1.06,6.2,43.6,4.2,97,22.1,27.6,328,347,1.3,0.45,0.1,2.4,0.32
45.45544,-122.684,0.3,0.53,0.17,0.57,0.14,0.91,57.9,1159,1.92,12.6,88.6,26.3,160,41.1,48.6,518,589,2.49,0.6,0.25,4.8,BD
45.57914,-122.69473,0.18,0.58,0.2,0.39,0.13,1.05,44.2,1033,2.37,16.4,53.2,12.4,229,19.9,30,413,309,3.43,0.52,0.16,5.1,BD
45.45872,-122.62917,0.15,0.4,0.18,0.54,0.11,0.83,39.1,783,5.63,8.6,34.7,29.4,136,46.3,58.8,383,418,2.12,0.62,0.25,3.4,0.24
45.42651,-122.68099,0.19,0.4,0.12,0.5,0.1,0.41,29.9,606,1.71,5.4,31.7,9.8,84,30.8,17.7,300,282,1.36,0.42,0.1,1.7,BD
45.46142,-122.73889,0.24,0.5,0.16,0.42,0.1,0.34,121.8,506,0.93,7.4,38.4,8.1,103,25.4,32.8,250,361,1.72,0.3,0.22,2.1,0.37
45.42662,-122.67186,0.17,0.45,0.13,0.31,0.07,0.47,70.5,1048,1.72,5.7,42,6.1,185,20.4,44.7,401,362,1.69,0.7,0.14,3.1,BD
45.46837,-122.65695,0.32,0.61,0.18,0.42,0.15,0.99,306.6,1444,4.37,16.5,159.2,23.9,144,26.2,53.2,728,576,2.89,1,0.41,9.7,BD
45.51363,-122.63053,0.26,0.53,0.15,0.6,0.13,0.55,57.7,576,1.94,12.1,131.1,34,51,40.1,60.1,296,195,1.36,0.44,0.51,37.5,BD
45.54965,-122.58253,0.18,0.57,0.13,0.55,0.13,0.56,69.2,840,1.98,10.1,42.6,14.1,172,33.9,48.7,414,346,1.58,0.46,0.2,4.3,BD
45.45421,-122.50691,0.25,0.61,0.21,0.4,0.11,0.34,184.8,542,1.82,6,29.2,14.7,225,42,76.9,311,285,1.15,0.5,0.06,1.9,BD
45.51355,-122.63098,0.2,0.46,0.13,0.47,0.1,0.6,46.3,656,2.21,12.1,40.7,14.7,64,31.7,27.9,346,402,1.59,0.42,0.28,12.7,0.28
45.54356,-122.59542,0.14,0.47,0.11,0.51,0.1,0.52,52.2,715,1.76,21.5,51.1,7.5,103,28.6,39.9,396,317,1.34,0.4,0.31,8.9,BD
45.49736,-122.4845,0.25,0.5,0.18,0.54,0.15,0.87,76.6,1834,2.63,13.3,91.5,14.7,150,51.1,82.1,952,535,2.91,0.98,0.27,7.8,0.29
45.47773,-122.62313,0.18,0.43,0.1,0.74,0.12,0.87,28.4,1048,7.57,11.7,40.4,18.1,66,36.3,35.1,527,325,2.32,0.71,0.26,5.9,0.36
45.53765,-122.55401,0.31,0.56,0.19,0.61,0.13,0.67,32.8,848,2.27,14.9,45,39.3,43,41.7,61.9,417,299,1.69,0.55,0.41,3.9,BD
45.49941,-122.65885,0.2,0.48,0.19,0.69,0.16,1.17,59.8,1462,3.5,19.5,107.9,45.7,159,48.5,66.6,648,544,3.02,0.75,0.56,8.1,0.43
45.46518,-122.72329,0.31,0.64,0.21,0.59,0.13,1.18,54.9,1610,1.98,19.6,96.5,20.1,134,45.2,82.4,648,660,3.06,0.89,0.22,4.9,BD
45.46541,-122.68134,0.22,0.75,0.15,0.59,0.13,0.83,226.1,975,2.13,12,65.3,20,183,43.8,104.3,497,619,2.33,0.56,0.37,3.6,0.3
45.54397,-122.77282,0.22,0.59,0.2,0.34,0.1,0.51,166.4,651,1.87,6.5,41.7,3.7,120,37.5,37.8,307,271,1.66,0.53,0.07,3.3,BD
45.60333,-122.83238,0.16,0.39,0.11,0.32,0.09,0.35,124.4,851,1.53,6.1,30.5,4.7,103,26.7,32.9,332,251,1.6,0.48,0.12,3.9,0.27
45.52418,-122.75928,0.23,0.47,0.16,0.66,0.1,0.54,60.6,647,1.14,7.4,52.1,22.3,BD,61.4,57.7,275,276,1.77,0.41,0.34,2.4,BD
45.47721,-122.60086,0.26,0.64,0.21,0.5,0.09,1,23.7,658,7.96,16.3,29.2,18.6,128,32.4,48.1,379,396,1.83,0.62,0.12,3.9,0.29
45.46653,-122.65317,0.21,0.52,0.15,0.4,0.11,0.95,55.8,1351,2.96,17.7,90.1,11.5,226,26.8,44,675,720,2.73,0.76,0.26,10,0.27
45.54961,-122.5827,0.18,0.71,0.14,0.63,0.13,0.59,108,705,1.49,10.2,51.8,23,113,36.9,60,360,247,1.29,0.43,0.31,3.1,BD
45.48972,-122.57211,0.19,0.56,0.19,0.59,0.13,0.93,37.9,1363,3.04,17.1,59.6,26,174,38.9,58.8,702,406,2.38,0.8,0.2,4.7,0.54
45.45925,-122.64899,0.31,0.66,0.19,0.57,0.15,0.71,85.3,1011,2.63,15.1,60.9,22.5,176,42.4,39.6,503,478,2.08,0.61,0.33,6.7,0.45
45.52542,-122.54492,0.24,0.49,0.12,0.38,0.1,0.65,33.9,864,2.08,8.9,63.4,4.6,52,25.9,27.8,453,480,1.58,0.55,0.16,5.6,BD
45.54629,-122.67079,0.14,0.32,0.13,0.38,0.14,1.44,98.7,1841,3.14,19.2,87.3,18.7,114,22.9,36.4,697,433,3.21,0.84,0.56,13,BD
45.48214,-122.75006,0.13,0.36,0.09,0.47,0.09,0.43,27,720,1.37,6.8,41,6.2,96,31.5,37.3,316,238,1.51,0.41,0.1,2.4,BD
45.55714,-122.56502,0.3,0.62,0.15,0.52,0.17,0.92,91.8,1173,2.04,15.2,65.4,10.8,153,26.1,62.7,582,545,2.08,0.64,0.18,4.7,0.74
45.52809,-122.74974,0.15,0.44,0.17,0.3,0.11,0.71,70.8,857,1.62,16.7,68.5,5.5,7,20.2,55.5,422,564,2.15,0.5,0.21,5,BD
45.47357,-122.75056,0.14,0.58,0.27,0.45,0.1,0.49,49.9,540,0.77,6.5,25.2,29.8,159,26.8,21.3,253,330,1.02,0.3,0.1,1.2,BD
45.43513,-122.74133,0.19,0.39,0.12,0.39,0.12,0.81,75.5,1081,1.42,10.2,69.3,4.6,111,35.9,46.5,467,380,2.05,0.56,0.11,4.2,BD
